	드라마	액션	코미디	스릴러	멜로/로맨스	모험	범죄	판타지	SF	애니메이션	가족	공포	미스터리	전쟁	뮤지컬
1980	22.73	15.15	13.64	4.55	7.58	7.58	6.06	0.0	4.55	3.03	3.03	3.03	3.03	3.03	1.52
1981	25.0	18.06	5.56	2.78	16.67	4.17	2.78	2.78	2.78	1.39	1.39	2.78	1.39	6.94	2.78
1982	23.46	14.81	4.94	9.88	11.11	6.17	7.41	3.7	1.23	2.47	1.23	2.47	0.0	6.17	1.23
1983	21.43	19.05	10.71	8.33	11.9	7.14	2.38	3.57	0.0	1.19	0.0	7.14	2.38	1.19	1.19
1984	24.68	18.18	10.39	7.79	10.39	5.19	5.19	2.6	5.19	1.3	3.9	1.3	2.6	0.0	0.0
1985	18.95	22.11	11.58	7.37	6.32	4.21	6.32	5.26	4.21	0.0	3.16	3.16	1.05	3.16	1.05
1986	26.44	18.39	16.09	6.9	9.2	8.05	3.45	4.6	0.0	0.0	1.15	3.45	0.0	0.0	0.0
1987	25.77	14.43	10.31	7.22	5.15	7.22	6.19	2.06	9.28	0.0	0.0	5.15	3.09	2.06	1.03
1988	26.58	16.46	8.86	7.59	6.33	1.27	7.59	1.27	5.06	0.0	2.53	2.53	1.27	6.33	1.27
1989	24.47	13.83	11.7	9.57	5.32	4.26	8.51	3.19	6.38	0.0	0.0	4.26	3.19	3.19	0.0
1990	26.6	13.83	11.7	4.26	11.7	0.0	8.51	4.26	7.45	1.06	0.0	2.13	0.0	3.19	0.0
1991	23.47	18.37	16.33	8.16	10.2	5.1	8.16	3.06	2.04	0.0	2.04	2.04	0.0	0.0	0.0
1992	17.5	18.33	11.67	10.83	11.67	4.17	3.33	5.0	4.17	1.67	4.17	2.5	0.83	0.83	0.83
1993	18.97	19.83	8.62	7.76	11.21	6.03	9.48	2.59	3.45	0.86	2.59	1.72	4.31	0.86	1.72
1994	22.33	17.48	14.56	10.68	5.83	4.85	4.85	2.91	0.97	1.94	2.91	0.97	4.85	1.94	0.97
1995	19.81	21.7	8.49	10.38	9.43	5.66	9.43	1.89	4.72	0.94	2.83	1.89	0.94	0.94	0.0
1996	20.34	20.34	9.32	16.95	5.93	5.93	4.24	3.39	1.69	3.39	4.24	0.0	1.69	0.85	0.85
1997	18.95	17.89	10.53	14.74	8.42	6.32	2.11	3.16	3.16	3.16	2.11	2.11	1.05	1.05	2.11
1998	19.59	13.4	11.34	9.28	8.25	7.22	1.03	6.19	8.25	4.12	4.12	2.06	2.06	1.03	1.03
1999	14.29	17.14	13.33	11.43	6.67	5.71	3.81	3.81	5.71	2.86	2.86	5.71	3.81	0.95	0.0
2000	17.5	15.0	10.83	9.17	6.67	5.83	4.17	7.5	3.33	3.33	2.5	5.0	5.0	3.33	0.0
2001	16.2	16.9	15.49	7.04	9.86	8.45	4.93	5.63	2.82	1.41	3.52	2.82	3.52	0.7	0.7
2002	14.75	14.75	14.75	6.56	4.92	11.48	4.1	5.74	6.56	2.46	4.92	4.1	3.28	1.64	0.0
2003	11.81	14.96	17.32	10.24	8.66	7.87	4.72	7.09	3.94	1.57	2.36	3.94	1.57	3.15	0.79
2004	16.28	14.73	17.05	6.2	13.18	6.2	1.55	6.2	3.1	1.55	1.55	4.65	1.55	5.43	0.78
2005	16.13	13.71	16.94	7.26	8.87	11.29	3.23	4.84	3.23	1.61	4.03	1.61	3.23	2.42	0.0
2006	17.27	16.55	16.55	7.19	6.47	8.63	3.6	6.47	2.88	2.88	5.76	1.44	1.44	0.0	0.0
2007	15.32	14.52	19.35	8.06	6.45	8.87	4.03	6.45	3.23	1.61	4.84	1.61	4.03	0.81	0.0
2008	17.02	19.15	8.51	7.8	6.38	10.64	5.67	5.67	4.26	2.84	4.26	0.71	1.42	3.55	0.71
2009	15.13	16.45	10.53	12.5	5.92	9.87	7.24	3.29	6.58	1.97	3.29	0.66	3.95	1.97	0.0
2010	11.45	15.27	8.4	12.98	3.82	11.45	6.87	9.16	4.58	4.58	5.34	0.76	3.82	1.53	0.0
2011	18.92	16.22	13.51	6.31	3.6	9.91	2.7	6.31	7.21	4.5	4.5	0.9	1.8	2.7	0.9
2012	19.8	16.83	12.87	6.93	8.91	9.9	5.94	3.96	3.96	5.94	1.98	0.0	1.98	0.99	0.0
2013	20.72	21.62	8.11	11.71	3.6	9.91	5.41	3.6	9.01	0.9	0.9	1.8	1.8	0.0	0.0
2014	22.12	24.04	4.81	4.81	3.85	11.54	4.81	7.69	7.69	1.92	1.92	0.0	0.96	1.92	0.96
2015	18.58	17.7	11.5	12.39	3.54	9.73	7.96	2.65	6.19	4.42	4.42	0.0	0.88	0.0	0.0
2016	18.42	15.79	8.77	7.02	0.88	13.16	6.14	7.02	4.39	4.39	5.26	1.75	2.63	1.75	0.88
2017	13.01	19.51	7.32	7.32	2.44	11.38	7.32	7.32	8.13	3.25	2.44	4.07	3.25	0.81	1.63
2018	17.89	22.11	7.37	6.32	2.11	13.68	8.42	4.21	10.53	1.05	1.05	2.11	2.11	0.0	1.05
2019	17.12	17.12	9.01	5.41	4.5	10.81	7.21	5.41	6.31	4.5	4.5	2.7	1.8	0.9	1.8
2020	25.25	17.17	11.11	5.05	2.02	9.09	5.05	5.05	3.03	4.04	5.05	2.02	3.03	1.01	2.02
2021	12.0	23.0	9.0	10.0	3.0	12.0	4.0	4.0	6.0	10.0	0.0	3.0	4.0	0.0	0.0
2022	14.29	23.81	5.71	1.9	0.95	14.29	8.57	4.76	5.71	11.43	1.9	0.95	1.9	0.95	0.95
